county,profile,source_features,target_field,source_field,observed_value,normalized_value,count,resolved_target_value,status
BoxElder,boxelder,C:\Mac\Home\Documents\working\utrans\county_obtained\BoxElder\BoxElder_20260624.gdb\BECO_RDS,POSTDIR,SUF_DIR,E,E,310,E,resolved
BoxElder,boxelder,C:\Mac\Home\Documents\working\utrans\county_obtained\BoxElder\BoxElder_20260624.gdb\BECO_RDS,POSTDIR,SUF_DIR,N,N,1288,N,resolved
BoxElder,boxelder,C:\Mac\Home\Documents\working\utrans\county_obtained\BoxElder\BoxElder_20260624.gdb\BECO_RDS,POSTDIR,SUF_DIR,S,S,675,S,resolved
BoxElder,boxelder,C:\Mac\Home\Documents\working\utrans\county_obtained\BoxElder\BoxElder_20260624.gdb\BECO_RDS,POSTDIR,SUF_DIR,W,W,1594,W,resolved
BoxElder,boxelder,C:\Mac\Home\Documents\working\utrans\county_obtained\BoxElder\BoxElder_20260624.gdb\BECO_RDS,POSTTYPE,S_TYPE,AVE,AVE,40,AVE,resolved
BoxElder,boxelder,C:\Mac\Home\Documents\working\utrans\county_obtained\BoxElder\BoxElder_20260624.gdb\BECO_RDS,POSTTYPE,S_TYPE,BLVD,BLVD,24,BLVD,resolved
BoxElder,boxelder,C:\Mac\Home\Documents\working\utrans\county_obtained\BoxElder\BoxElder_20260624.gdb\BECO_RDS,POSTTYPE,S_TYPE,CIR,CIR,34,CIR,resolved
BoxElder,boxelder,C:\Mac\Home\Documents\working\utrans\county_obtained\BoxElder\BoxElder_20260624.gdb\BECO_RDS,POSTTYPE,S_TYPE,CT,CT,5,CT,resolved
BoxElder,boxelder,C:\Mac\Home\Documents\working\utrans\county_obtained\BoxElder\BoxElder_20260624.gdb\BECO_RDS,POSTTYPE,S_TYPE,DR,DR,294,DR,resolved
BoxElder,boxelder,C:\Mac\Home\Documents\working\utrans\county_obtained\BoxElder\BoxElder_20260624.gdb\BECO_RDS,POSTTYPE,S_TYPE,FWY,FWY,201,FWY,resolved
BoxElder,boxelder,C:\Mac\Home\Documents\working\utrans\county_obtained\BoxElder\BoxElder_20260624.gdb\BECO_RDS,POSTTYPE,S_TYPE,LANE,LANE,1,LN,resolved
BoxElder,boxelder,C:\Mac\Home\Documents\working\utrans\county_obtained\BoxElder\BoxElder_20260624.gdb\BECO_RDS,POSTTYPE,S_TYPE,LN,LN,45,LN,resolved
BoxElder,boxelder,C:\Mac\Home\Documents\working\utrans\county_obtained\BoxElder\BoxElder_20260624.gdb\BECO_RDS,POSTTYPE,S_TYPE,LOOP,LOOP,34,LOOP,resolved
BoxElder,boxelder,C:\Mac\Home\Documents\working\utrans\county_obtained\BoxElder\BoxElder_20260624.gdb\BECO_RDS,POSTTYPE,S_TYPE,PL,PL,20,PL,resolved
BoxElder,boxelder,C:\Mac\Home\Documents\working\utrans\county_obtained\BoxElder\BoxElder_20260624.gdb\BECO_RDS,POSTTYPE,S_TYPE,RAMP,RAMP,143,RAMP,resolved
BoxElder,boxelder,C:\Mac\Home\Documents\working\utrans\county_obtained\BoxElder\BoxElder_20260624.gdb\BECO_RDS,POSTTYPE,S_TYPE,RD,RD,1325,RD,resolved
BoxElder,boxelder,C:\Mac\Home\Documents\working\utrans\county_obtained\BoxElder\BoxElder_20260624.gdb\BECO_RDS,POSTTYPE,S_TYPE,ST,ST,325,ST,resolved
BoxElder,boxelder,C:\Mac\Home\Documents\working\utrans\county_obtained\BoxElder\BoxElder_20260624.gdb\BECO_RDS,POSTTYPE,S_TYPE,TRL,TRL,4,TRL,resolved
BoxElder,boxelder,C:\Mac\Home\Documents\working\utrans\county_obtained\BoxElder\BoxElder_20260624.gdb\BECO_RDS,POSTTYPE,S_TYPE,WAY,WAY,38,WAY,resolved
BoxElder,boxelder,C:\Mac\Home\Documents\working\utrans\county_obtained\BoxElder\BoxElder_20260624.gdb\BECO_RDS,PREDIR,PRE_DIR,E,E,503,E,resolved
BoxElder,boxelder,C:\Mac\Home\Documents\working\utrans\county_obtained\BoxElder\BoxElder_20260624.gdb\BECO_RDS,PREDIR,PRE_DIR,N,N,1762,N,resolved
BoxElder,boxelder,C:\Mac\Home\Documents\working\utrans\county_obtained\BoxElder\BoxElder_20260624.gdb\BECO_RDS,PREDIR,PRE_DIR,S,S,962,S,resolved
BoxElder,boxelder,C:\Mac\Home\Documents\working\utrans\county_obtained\BoxElder\BoxElder_20260624.gdb\BECO_RDS,PREDIR,PRE_DIR,W,W,2162,W,resolved
BoxElder,boxelder,C:\Mac\Home\Documents\working\utrans\county_obtained\BoxElder\BoxElder_20260624.gdb\BECO_RDS,VERT_LEVEL,VERTLEVEL,0.0,0.0,11511,,review
Daggett,daggett,C:\Mac\Home\Documents\working\utrans\county_obtained\Daggett\DaggettCo_20210515.gdb\Centerlines,A2_POSTTYPE,ALIAS2_TYP,RD,RD,15,RD,resolved
Daggett,daggett,C:\Mac\Home\Documents\working\utrans\county_obtained\Daggett\DaggettCo_20210515.gdb\Centerlines,DOT_CLASS,CLASS,A,A,7,A,resolved
Daggett,daggett,C:\Mac\Home\Documents\working\utrans\county_obtained\Daggett\DaggettCo_20210515.gdb\Centerlines,DOT_CLASS,CLASS,B,B,298,B,resolved
Daggett,daggett,C:\Mac\Home\Documents\working\utrans\county_obtained\Daggett\DaggettCo_20210515.gdb\Centerlines,DOT_CLASS,CLASS,C,C,69,C,resolved
Daggett,daggett,C:\Mac\Home\Documents\working\utrans\county_obtained\Daggett\DaggettCo_20210515.gdb\Centerlines,DOT_CLASS,CLASS,D,D,220,D,resolved
Daggett,daggett,C:\Mac\Home\Documents\working\utrans\county_obtained\Daggett\DaggettCo_20210515.gdb\Centerlines,DOT_SRFTYP,S_SURF2,0,0,510,,review
Daggett,daggett,C:\Mac\Home\Documents\working\utrans\county_obtained\Daggett\DaggettCo_20210515.gdb\Centerlines,DOT_SRFTYP,S_SURF2,Gravel,GRAVEL,1,,review
Daggett,daggett,C:\Mac\Home\Documents\working\utrans\county_obtained\Daggett\DaggettCo_20210515.gdb\Centerlines,DOT_SRFTYP,S_SURF2,Improved,IMPROVED,393,I,resolved
Daggett,daggett,C:\Mac\Home\Documents\working\utrans\county_obtained\Daggett\DaggettCo_20210515.gdb\Centerlines,DOT_SRFTYP,S_SURF2,Improv_Agg/gravel,IMPROV_AGG/GRAVEL,33,,review
Daggett,daggett,C:\Mac\Home\Documents\working\utrans\county_obtained\Daggett\DaggettCo_20210515.gdb\Centerlines,DOT_SRFTYP,S_SURF2,Maintain_Native,MAINTAIN_NATIVE,35,,review
Daggett,daggett,C:\Mac\Home\Documents\working\utrans\county_obtained\Daggett\DaggettCo_20210515.gdb\Centerlines,DOT_SRFTYP,S_SURF2,Native,NATIVE,138,N,resolved
Daggett,daggett,C:\Mac\Home\Documents\working\utrans\county_obtained\Daggett\DaggettCo_20210515.gdb\Centerlines,DOT_SRFTYP,S_SURF2,Paved,PAVED,132,P,resolved
