county,profile,source_features,target_field,source_field,observed_value,normalized_value,count,resolved_target_value,status,approved_target_value,note
Emery,emery,C:\Mac\Home\Documents\working\utrans\county_obtained\Emery\EmeryCo_20260611.gdb\Roads,DOT_SRFTYP,S_SURF2,320,320,1,,review,N,
Emery,emery,C:\Mac\Home\Documents\working\utrans\county_obtained\Emery\EmeryCo_20260611.gdb\Roads,DOT_SRFTYP,S_SURF2,<Null>,<NULL>,1,,review,,no matching value
Emery,emery,C:\Mac\Home\Documents\working\utrans\county_obtained\Emery\EmeryCo_20260611.gdb\Roads,DOT_SRFTYP,S_SURF2,Maintained Native,MAINTAINED NATIVE,1,,review,N,
Emery,emery,C:\Mac\Home\Documents\working\utrans\county_obtained\Emery\EmeryCo_20260611.gdb\Roads,SPEED_LMT,SPD_LMT,0,0,6178,,review,,no matching value
Grand,grand,C:\Mac\Home\Documents\working\utrans\county_obtained\Grand\GrandCo_20260722.gdb\GC_ROADS_07_09_26,DOT_CLASS,CLASS,ap,AP,15,,review,,no matching value
Grand,grand,C:\Mac\Home\Documents\working\utrans\county_obtained\Grand\GrandCo_20260722.gdb\GC_ROADS_07_09_26,DOT_CLASS,CLASS,blm,BLM,23,,review,F,
Grand,grand,C:\Mac\Home\Documents\working\utrans\county_obtained\Grand\GrandCo_20260722.gdb\GC_ROADS_07_09_26,DOT_CLASS,CLASS,co,CO,6,,review,,no matching value
Grand,grand,C:\Mac\Home\Documents\working\utrans\county_obtained\Grand\GrandCo_20260722.gdb\GC_ROADS_07_09_26,DOT_CLASS,CLASS,dwr,DWR,1,,review,A,
Grand,grand,C:\Mac\Home\Documents\working\utrans\county_obtained\Grand\GrandCo_20260722.gdb\GC_ROADS_07_09_26,DOT_CLASS,CLASS,fs,FS,181,,review,F,
Grand,grand,C:\Mac\Home\Documents\working\utrans\county_obtained\Grand\GrandCo_20260722.gdb\GC_ROADS_07_09_26,DOT_CLASS,CLASS,ind,IND,203,,review,,no matching value
Grand,grand,C:\Mac\Home\Documents\working\utrans\county_obtained\Grand\GrandCo_20260722.gdb\GC_ROADS_07_09_26,DOT_CLASS,CLASS,pr,PR,407,,review,,no matching value
Grand,grand,C:\Mac\Home\Documents\working\utrans\county_obtained\Grand\GrandCo_20260722.gdb\GC_ROADS_07_09_26,DOT_CLASS,CLASS,rr,RR,7,,review,,no matching value
Grand,grand,C:\Mac\Home\Documents\working\utrans\county_obtained\Grand\GrandCo_20260722.gdb\GC_ROADS_07_09_26,DOT_CLASS,CLASS,sj,SJ,2,,review,,no matching value
Grand,grand,C:\Mac\Home\Documents\working\utrans\county_obtained\Grand\GrandCo_20260722.gdb\GC_ROADS_07_09_26,DOT_CLASS,CLASS,sp,SP,27,,review,,no matching value
Grand,grand,C:\Mac\Home\Documents\working\utrans\county_obtained\Grand\GrandCo_20260722.gdb\GC_ROADS_07_09_26,DOT_CLASS,CLASS,u,U,5,,review,,no matching value
Grand,grand,C:\Mac\Home\Documents\working\utrans\county_obtained\Grand\GrandCo_20260722.gdb\GC_ROADS_07_09_26,DOT_CLASS,CLASS,wld,WLD,1,,review,,no matching value
Grand,grand,C:\Mac\Home\Documents\working\utrans\county_obtained\Grand\GrandCo_20260722.gdb\GC_ROADS_07_09_26,DOT_SRFTYP,SURFTYPE,100,100,1773,,review,P,
Grand,grand,C:\Mac\Home\Documents\working\utrans\county_obtained\Grand\GrandCo_20260722.gdb\GC_ROADS_07_09_26,DOT_SRFTYP,SURFTYPE,200,200,986,,review,I,
Grand,grand,C:\Mac\Home\Documents\working\utrans\county_obtained\Grand\GrandCo_20260722.gdb\GC_ROADS_07_09_26,DOT_SRFTYP,SURFTYPE,200,200,1,,review,I,
Grand,grand,C:\Mac\Home\Documents\working\utrans\county_obtained\Grand\GrandCo_20260722.gdb\GC_ROADS_07_09_26,DOT_SRFTYP,SURFTYPE,300,300,20968,,review,N,
Grand,grand,C:\Mac\Home\Documents\working\utrans\county_obtained\Grand\GrandCo_20260722.gdb\GC_ROADS_07_09_26,SPEED_LMT,SPEED,0,0,239,,review,25,
Iron,iron,C:\Mac\Home\Documents\working\utrans\county_obtained\Iron\Iron_20260625.gdb\Iron_Roads06_25_2026,DOT_SRFTYP,SURFTYPE,100,100,3045,,review,P,
Iron,iron,C:\Mac\Home\Documents\working\utrans\county_obtained\Iron\Iron_20260625.gdb\Iron_Roads06_25_2026,DOT_SRFTYP,SURFTYPE,200,200,2739,,review,I,
Iron,iron,C:\Mac\Home\Documents\working\utrans\county_obtained\Iron\Iron_20260625.gdb\Iron_Roads06_25_2026,DOT_SRFTYP,SURFTYPE,300,300,2460,,review,N,
Iron,iron,C:\Mac\Home\Documents\working\utrans\county_obtained\Iron\Iron_20260625.gdb\Iron_Roads06_25_2026,DOT_SRFTYP,SURFTYPE,999,999,4014,,review,U,
Iron,iron,C:\Mac\Home\Documents\working\utrans\county_obtained\Iron\Iron_20260625.gdb\Iron_Roads06_25_2026,DOT_SRFTYP,SURFTYPE,OTHER,OTHER,17,,review,,no matching value
Iron,iron,C:\Mac\Home\Documents\working\utrans\county_obtained\Iron\Iron_20260625.gdb\Iron_Roads06_25_2026,POSTDIR,SUFDIR,.,.,1,,review,,no matching value
Iron,iron,C:\Mac\Home\Documents\working\utrans\county_obtained\Iron\Iron_20260625.gdb\Iron_Roads06_25_2026,POSTTYPE,STREETTYPE,c,C,1,,review,,no enough info
Iron,iron,C:\Mac\Home\Documents\working\utrans\county_obtained\Iron\Iron_20260625.gdb\Iron_Roads06_25_2026,POSTTYPE,STREETTYPE,DIR,DIR,1,,review,DR,
Iron,iron,C:\Mac\Home\Documents\working\utrans\county_obtained\Iron\Iron_20260625.gdb\Iron_Roads06_25_2026,POSTTYPE,STREETTYPE,LP,LP,6,,review,LOOP,
Iron,iron,C:\Mac\Home\Documents\working\utrans\county_obtained\Iron\Iron_20260625.gdb\Iron_Roads06_25_2026,POSTTYPE,STREETTYPE,RDE,RDE,1,,review,RD,"Road, Route (RTE) or Ridge (RDG)?"
Iron,iron,C:\Mac\Home\Documents\working\utrans\county_obtained\Iron\Iron_20260625.gdb\Iron_Roads06_25_2026,POSTTYPE,STREETTYPE,TR,TR,5,,review,,"no matching value, could be Terrace (TER) or Trail (TRL)"
Iron,iron,C:\Mac\Home\Documents\working\utrans\county_obtained\Iron\Iron_20260625.gdb\Iron_Roads06_25_2026,POSTTYPE,STREETTYPE,W,W,2,,review,,no matching value
Iron,iron,C:\Mac\Home\Documents\working\utrans\county_obtained\Iron\Iron_20260625.gdb\Iron_Roads06_25_2026,POSTTYPE,STREETTYPE,WY,WY,9,,review,WAY,
Kane,kane,C:\Mac\Home\Documents\working\utrans\county_obtained\Kane\KaneCo_20250915.gdb\Kane_Street_Centerlines,DOT_SRFTYP,SURFTYPE,100,100,1016,,review,,no matching value
Kane,kane,C:\Mac\Home\Documents\working\utrans\county_obtained\Kane\KaneCo_20250915.gdb\Kane_Street_Centerlines,DOT_SRFTYP,SURFTYPE,200,200,662,,review,,no matching value
Kane,kane,C:\Mac\Home\Documents\working\utrans\county_obtained\Kane\KaneCo_20250915.gdb\Kane_Street_Centerlines,DOT_SRFTYP,SURFTYPE,300,300,3148,,review,,no matching value
Kane,kane,C:\Mac\Home\Documents\working\utrans\county_obtained\Kane\KaneCo_20250915.gdb\Kane_Street_Centerlines,DOT_SRFTYP,SURFTYPE,999,999,3,,review,,no matching value
Kane,kane,C:\Mac\Home\Documents\working\utrans\county_obtained\Kane\KaneCo_20250915.gdb\Kane_Street_Centerlines,POSTTYPE,STREETTYPE,0,0,1,,review,,no matching value
Kane,kane,C:\Mac\Home\Documents\working\utrans\county_obtained\Kane\KaneCo_20250915.gdb\Kane_Street_Centerlines,POSTTYPE,STREETTYPE,LP,LP,1,,review,LOOP,assume should be Loop
Kane,kane,C:\Mac\Home\Documents\working\utrans\county_obtained\Kane\KaneCo_20250915.gdb\Kane_Street_Centerlines,POSTTYPE,STREETTYPE,SST,SST,1,,review,ST,assume typo for Street
Kane,kane,C:\Mac\Home\Documents\working\utrans\county_obtained\Kane\KaneCo_20250915.gdb\Kane_Street_Centerlines,POSTTYPE,STREETTYPE,TR,TR,2,,review,TER,assuming Terrace and not Trail
Kane,kane,C:\Mac\Home\Documents\working\utrans\county_obtained\Kane\KaneCo_20250915.gdb\Kane_Street_Centerlines,POSTTYPE,STREETTYPE,WY,WY,4,,review,WAY,
Kane,kane,C:\Mac\Home\Documents\working\utrans\county_obtained\Kane\KaneCo_20250915.gdb\Kane_Street_Centerlines,SPEED_LMT,SPEED,0,0,57,,review,25,defaulting to 25
Morgan,morgan,C:\Mac\Home\Documents\working\utrans\county_obtained\Morgan\MorganCo_20260519.gdb\Centerlines_May26,DOT_CLASS,roadclass,Collector,COLLECTOR,50,,review,,"should be DOT_FCLASS, prefer UDOT to apply classes"
Morgan,morgan,C:\Mac\Home\Documents\working\utrans\county_obtained\Morgan\MorganCo_20260519.gdb\Centerlines_May26,DOT_CLASS,roadclass,Freeway,FREEWAY,28,,review,,"should be DOT_FCLASS, prefer UDOT to apply classes"
Morgan,morgan,C:\Mac\Home\Documents\working\utrans\county_obtained\Morgan\MorganCo_20260519.gdb\Centerlines_May26,DOT_CLASS,roadclass,Highway,HIGHWAY,43,,review,,"should be DOT_FCLASS, prefer UDOT to apply classes"
Morgan,morgan,C:\Mac\Home\Documents\working\utrans\county_obtained\Morgan\MorganCo_20260519.gdb\Centerlines_May26,DOT_CLASS,roadclass,Local,LOCAL,712,,review,,"should be DOT_FCLASS, prefer UDOT to apply classes"
Morgan,morgan,C:\Mac\Home\Documents\working\utrans\county_obtained\Morgan\MorganCo_20260519.gdb\Centerlines_May26,DOT_CLASS,roadclass,Minor Arterial,MINOR ARTERIAL,90,,review,,"should be DOT_FCLASS, prefer UDOT to apply classes"
Morgan,morgan,C:\Mac\Home\Documents\working\utrans\county_obtained\Morgan\MorganCo_20260519.gdb\Centerlines_May26,DOT_CLASS,roadclass,Ramp,RAMP,22,,review,,"should be DOT_FCLASS, prefer UDOT to apply classes"
Rich,rich,C:\Mac\Home\Documents\working\utrans\county_obtained\Rich\RichCo_20211115.gdb\E911_RichRoads11_3_21,DOT_SRFTYP,S_SURF,0,0,2861,,review,,no matching value
Rich,rich,C:\Mac\Home\Documents\working\utrans\county_obtained\Rich\RichCo_20211115.gdb\E911_RichRoads11_3_21,DOT_SRFTYP,S_SURF,100,100,7,,review,P,
Rich,rich,C:\Mac\Home\Documents\working\utrans\county_obtained\Rich\RichCo_20211115.gdb\E911_RichRoads11_3_21,DOT_SRFTYP,S_SURF,115,115,141,,review,P,
Rich,rich,C:\Mac\Home\Documents\working\utrans\county_obtained\Rich\RichCo_20211115.gdb\E911_RichRoads11_3_21,DOT_SRFTYP,S_SURF,20,20,1,,review,,no matching value
Rich,rich,C:\Mac\Home\Documents\working\utrans\county_obtained\Rich\RichCo_20211115.gdb\E911_RichRoads11_3_21,DOT_SRFTYP,S_SURF,200,200,94,,review,I,
Rich,rich,C:\Mac\Home\Documents\working\utrans\county_obtained\Rich\RichCo_20211115.gdb\E911_RichRoads11_3_21,DOT_SRFTYP,S_SURF,210,210,234,,review,I,
Rich,rich,C:\Mac\Home\Documents\working\utrans\county_obtained\Rich\RichCo_20211115.gdb\E911_RichRoads11_3_21,DOT_SRFTYP,S_SURF,211,211,85,,review,I,
Rich,rich,C:\Mac\Home\Documents\working\utrans\county_obtained\Rich\RichCo_20211115.gdb\E911_RichRoads11_3_21,DOT_SRFTYP,S_SURF,221,221,19,,review,I,
Rich,rich,C:\Mac\Home\Documents\working\utrans\county_obtained\Rich\RichCo_20211115.gdb\E911_RichRoads11_3_21,DOT_SRFTYP,S_SURF,223,223,19,,review,I,
